Model,Accuracy,F1 (Weighted),F1 (Human),F1 (AI),Precision,Recall,AUC-ROC,PR-AUC
Logistic Regression,0.92,0.9196809116809118,0.9407407407407408,0.8769230769230769,0.9195680147058823,0.92,0.9566938037087291,0.9167463179394367
Random Forest,0.88,0.878456725755996,0.9124087591240876,0.8095238095238095,0.8787142857142858,0.88,0.9415422885572139,0.8932753130561001
SVM,0.905,0.9025545780384491,0.931899641577061,0.8429752066115702,0.9066896551724137,0.905,0.9551108095884215,0.9418860583773634
Gradient Boosting,0.88,0.8790073529411765,0.9117647058823529,0.8125,0.8788031790556334,0.88,0.9514925373134329,0.9289870885865137
