Approach,Model/Method,Accuracy,F1 (Weighted),F1 (Human),F1 (AI),Precision,Recall,AUC-ROC,PR-AUC,Train Time (s),Type
Feature-Based ML,Logistic Regression,0.92,0.9196809116809118,0.9407407407407408,0.8769230769230769,0.9195680147058825,0.92,0.9566938037087293,0.9167463179394368,0.0,Classical ML
Transformer,roberta-base,0.94,0.9407994389901824,0.9565217391304348,0.9032258064516128,0.9434871794871796,0.94,0.9931482149296792,0.9864725002309652,527.7174,Deep Learning
DetectGPT,RANK,0.66,0.6414484126984127,0.7638888888888888,0.3928571428571428,0.6363975155279503,0.66,0.6100746268656716,0.4612932897491167,0.0,Zero-Shot
